UniqueCount	AmbigCount
291700	217
310	0
244	0
249	2
217	0
192	1
430	0
203	37
233	0
435	0
174	1
237	0
163	0
189	0
176	0
359	2
189	1
150	1
159	0
153	0
301	1
284	3
280	0
124	2
164	0
153	0
133	0
98	0
180	5
82	0
229	1
103	0
104	1
199	5
235	0
198	0
83	41
205	0
70	2
101	0
101	0
213	3
93	0
224	2
189	0
66	0
61	0
71	0
8	1
88	0
66	0
64	0
159	6
84	1
79	0
158	0
1	0
169	0
65	0
170	1
177	45
72	0
78	0
2	1
62	0
159	0
153	1
69	2
71	0
54	0
0	0
0	0
40	0
175	1
158	0
146	1
93	0
152	0
149	0
156	0
172	2
132	7
145	0
13	0
1	0
4	1
68	0
140	0
0	0
134	1
109	0
92	0
125	2
77	0
0	0
0	2
120	1
148	0
141	0
135	0
0	0
61	0
134	0
0	0
89	0
1	0
2	0
0	0
47	0
123	1
0	0
133	0
92	0
0	0
46	1
96	0
121	2
117	0
97	0
5	0
57	41
0	0
0	3
48	0
1	0
116	11
96	0
0	1
96	2
117	1
101	7
0	0
0	1
1	0
99	0
45	0
92	3
104	1
16	0
105	2
1	0
112	0
0	0
92	0
106	3
1	0
0	1
1	0
114	0
0	0
95	1
128	0
0	1
31	0
98	0
1	0
0	0
35	0
133	5
80	0
105	0
0	1
72	0
100	0
66	0
90	8
0	1
28	0
70	0
0	0
1	0
0	52
96	0
59	0
27	3
105	0
8	0
115	0
27	0
75	6
79	0
0	0
19	0
34	0
0	0
1	46
78	1
108	0
9	0
2	0
82	3
104	0
1	0
0	0
28	1
26	0
0	0
88	0
1	0
62	0
2	1
30	0
0	0
89	0
0	0
0	0
43	0
21	0
76	6
0	0
37	0
49	0
6	0
51	0
43	0
3	0
89	0
69	20
0	1
55	2
56	9
19	0
67	0
0	0
84	0
33	0
80	3
8	52
99	0
78	4
55	0
90	7
0	62
27	0
78	0
16	62
0	0
0	16
84	0
61	6
0	0
0	1
6	0
79	0
61	3
0	0
73	0
0	0
1	0
71	0
18	0
0	35
74	3
94	0
74	0
0	0
75	1
70	0
0	0
79	4
0	0
4	62
2	0
1	0
59	1
2	11
1	0
84	0
74	0
0	0
0	35
0	0
33	0
81	0
28	0
47	0
0	0
0	3
82	0
64	10
0	0
3	0
68	0
53	3
0	2
26	0
0	0
58	0
64	0
0	0
80	0
0	0
0	0
0	0
0	1
67	0
8	0
65	4
70	0
0	0
66	0
3	2
0	0
25	0
55	6
0	0
1	0
63	0
60	1
59	0
0	0
10	0
61	0
1	0
43	0
0	0
52	0
58	1
0	0
1	0
0	1
9	3
58	1
69	0
0	0
64	0
48	2
0	1
33	0
1	0
0	0
0	0
0	0
61	0
12	0
67	0
7	0
4	0
0	0
0	0
31	0
0	0
55	0
48	2
0	0
70	3
1	0
0	19
70	0
56	4
19	0
66	0
6	0
51	0
62	0
1	0
0	0
0	0
49	0
0	0
0	0
60	1
79	0
1	0
53	0
0	0
0	0
57	0
77	0
0	0
45	0
0	0
43	1
1	9
6	0
2	0
59	0
47	1
56	0
0	0
54	0
0	0
0	0
42	0
1	0
1	1
53	1
48	0
0	0
0	0
0	0
44	0
66	0
17	17
0	0
0	0
0	0
0	0
43	1
1	1
0	0
0	2
5	0
56	6
51	0
68	0
51	0
13	0
53	1
0	0
38	0
46	0
18	20
40	0
55	0
0	0
48	6
52	0
57	0
42	0
57	1
48	0
56	0
51	0
1	0
1	0
61	0
15	0
0	0
0	0
61	0
0	0
0	0
22	2
0	0
5	0
14	0
49	0
1	0
44	0
0	0
0	0
1	0
51	0
45	0
0	0
55	0
0	0
19	0
48	0
22	27
0	0
54	0
57	0
0	0
45	0
0	0
0	9
0	0
4	0
48	0
0	0
2	0
10	1
50	0
56	0
19	0
0	0
41	0
0	0
49	3
2	1
40	1
0	2
55	0
0	0
41	0
0	0
10	0
0	0
0	1
0	0
0	0
26	0
1	2
36	0
0	0
2	0
47	0
47	0
8	0
0	0
12	13
45	0
2	0
0	0
0	0
42	1
48	0
40	5
20	0
42	2
0	0
31	1
9	0
27	0
6	1
38	0
45	0
0	1
0	0
25	0
51	1
24	19
33	1
46	0
29	3
0	0
0	0
0	0
1	0
44	0
38	0
43	2
0	0
3	0
39	0
0	4
42	0
0	0
48	0
35	0
0	0
0	0
0	0
36	0
1	17
0	0
1	0
39	0
29	6
35	0
59	2
45	0
36	0
0	0
52	0
38	0
0	0
30	0
16	0
0	1
0	0
0	0
0	0
0	0
7	0
45	2
0	1
0	0
2	0
0	0
0	1
30	2
0	0
1	0
37	0
50	0
2	0
33	0
0	0
24	2
0	0
47	0
0	0
0	0
0	1
0	0
8	0
35	3
38	0
13	0
0	0
36	0
38	0
27	0
11	2
42	0
1	0
0	3
30	1
0	2
0	0
0	2
46	0
47	1
3	1
1	18
45	0
0	0
0	0
31	0
0	2
0	0
39	3
0	0
48	0
6	0
30	2
38	0
16	19
33	0
0	0
47	0
0	2
16	0
0	18
40	0
28	0
37	2
0	0
0	2
37	0
31	0
36	10
0	0
5	0
1	1
34	0
0	4
0	3
0	0
0	0
1	0
28	0
1	1
29	0
30	2
35	0
46	0
24	0
0	3
0	0
0	0
23	16
33	0
0	0
0	0
27	0
25	0
32	0
0	0
0	0
33	0
0	0
20	0
36	2
182	5
3	0
32	0
21	8
26	0
42	0
26	0
36	2
0	0
2	0
20	0
37	0
34	1
0	0
24	0
31	0
33	0
7	0
0	0
0	0
42	0
0	1
7	0
0	0
37	0
0	0
33	0
0	0
1	5
0	0
8	0
36	1
0	1
26	0
24	5
0	1
0	0
1	0
0	0
28	6
30	0
0	0
29	0
35	0
30	0
2	0
2	0
33	1
0	0
3	0
0	0
30	0
1	0
1	0
36	0
27	0
31	0
0	0
44	0
0	0
0	0
31	0
1	0
0	0
0	0
33	0
28	2
0	0
0	0
31	1
0	0
0	0
26	0
0	0
2	1
33	0
28	2
7	0
29	0
19	0
0	0
0	0
32	1
31	0
30	0
24	0
0	0
0	0
34	0
0	0
7	27
14	17
0	0
0	0
21	5
34	0
0	1
40	0
24	0
0	2
24	0
0	0
30	0
0	0
14	0
0	0
14	0
33	0
0	0
4	0
35	0
2	0
0	0
31	5
0	2
0	0
0	0
22	0
28	0
0	0
29	4
29	0
13	1
0	0
48	0
24	0
0	0
0	0
0	0
7	0
1	1
23	0
12	0
25	0
0	0
0	0
21	0
0	0
0	0
22	0
0	0
0	0
0	0
24	0
2	0
0	0
0	0
26	0
30	0
0	0
0	0
0	0
31	0
1	0
30	0
22	0
0	0
31	0
0	1
33	0
20	0
0	0
30	0
37	0
17	2
28	0
0	0
33	1
23	1
0	0
42	0
0	0
0	0
8	0
7	1
43	0
0	0
43	4
22	0
22	1
0	0
0	0
27	0
0	0
32	0
0	0
2	0
30	3
25	0
7	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	27
0	0
1	0
16	0
18	0
30	0
22	0
19	0
21	0
0	0
8	7
0	0
0	1
0	1
0	0
21	1
0	0
33	0
27	0
28	0
0	7
36	0
0	0
0	0
16	0
19	1
0	0
21	0
0	1
22	0
0	2
0	0
32	6
18	0
0	0
21	0
23	0
21	0
0	0
1	16
1	0
22	0
19	0
0	0
0	0
0	0
0	0
17	0
8	1
20	1
15	0
0	0
0	0
0	1
10	17
24	0
0	0
20	0
1	0
15	1
16	4
21	0
35	0
21	1
0	0
0	0
0	0
0	0
0	0
27	0
14	1
0	0
17	0
0	0
18	0
1	0
0	0
0	0
16	0
19	0
17	0
1	0
28	1
0	0
25	0
0	0
0	0
0	0
24	2
5	0
17	0
0	0
18	0
19	40
0	0
17	2
15	0
18	0
0	0
1	0
1	2
1	2
57	4
0	0
19	0
20	2
0	0
22	0
0	0
0	0
0	0
15	0
21	0
25	0
8	0
0	0
19	0
21	0
16	0
0	0
0	0
0	29
3	0
21	6
0	0
20	0
0	0
18	0
0	0
0	0
18	0
0	0
0	0
0	1
1	0
24	0
17	0
5	0
3	0
23	2
21	1
19	0
11	0
0	0
0	0
0	0
21	0
16	0
24	0
14	0
0	0
0	0
8	0
13	0
0	0
0	0
9	0
15	0
28	0
14	0
0	0
14	0
0	0
21	0
0	6
13	0
30	0
0	0
21	0
0	0
22	1
20	0
28	0
0	0
0	0
15	0
0	0
10	0
0	0
0	0
0	0
8	0
11	1
10	0
0	1
0	0
1	0
0	0
0	0
19	0
19	0
17	0
17	0
0	0
16	0
21	5
0	0
0	0
0	0
11	4
23	0
0	0
1	7
0	0
0	0
229	0
19	0
8	6
0	0
14	0
0	0
13	0
20	0
0	0
15	0
23	0
10	1
0	0
0	0
7	3
0	0
1	0
28	3
17	0
18	0
7	15
0	0
0	0
11	0
0	0
2	6
17	0
14	0
0	0
8	8
7	0
0	0
10	2
1	0
3	0
0	0
0	0
0	0
20	0
0	0
1	0
0	0
25	0
13	0
0	0
10	2
0	0
0	1
18	0
12	1
13	0
22	0
15	2
19	0
0	13
13	1
12	0
11	0
16	0
13	0
0	0
0	0
17	0
13	0
0	0
0	0
19	0
0	0
11	3
10	1
11	1
8	6
13	2
2	0
13	0
12	0
0	0
0	0
0	0
0	0
16	0
24	0
12	0
16	1
0	0
11	0
10	0
13	0
18	0
27	0
0	0
0	0
16	0
8	9
19	0
0	0
14	0
15	0
0	0
0	0
1	0
16	0
0	0
0	0
13	0
10	0
11	0
11	0
0	0
0	0
12	9
15	0
10	0
15	2
0	0
13	0
22	4
9	0
11	0
0	0
18	0
23	0
14	2
9	0
0	0
11	0
0	1
1	1
15	0
16	0
5	0
19	0
1	0
0	0
0	0
0	0
11	0
0	0
0	0
4	0
0	1
0	0
13	0
0	0
0	0
9	1
12	0
0	1
0	0
0	0
9	0
0	0
6	0
10	0
0	0
0	0
0	0
0	0
0	0
12	0
1	0
0	0
7	1
10	0
0	6
0	3
11	0
11	0
0	0
13	0
0	0
23	9
14	0
9	0
10	0
0	0
7	1
0	0
6	1
11	0
6	0
0	0
7	2
0	0
9	0
11	0
0	0
0	0
14	0
0	0
0	3
11	0
0	0
3	0
13	0
3	10
0	0
4	0
0	0
0	2
0	0
12	0
7	0
8	0
0	0
14	0
0	0
0	0
16	0
0	5
21	0
12	0
0	1
11	0
1	0
1	0
8	0
8	0
0	0
0	0
0	0
8	0
9	0
6	0
0	0
0	0
13	2
18	0
13	0
0	0
0	0
1	0
0	0
8	0
6	1
14	0
17	0
0	0
0	0
17	0
17	0
0	1
15	0
15	0
7	0
13	0
12	0
0	0
15	0
0	0
0	0
11	1
0	4
0	0
10	0
12	0
0	4
25	6
8	0
0	0
0	0
0	0
0	1
9	0
1	0
7	13
7	0
0	0
0	0
9	0
12	0
9	0
0	0
0	0
0	0
12	0
11	0
19	0
0	0
19	0
0	0
23	4
0	0
0	0
7	0
0	0
0	0
0	0
3	0
0	0
0	0
8	0
7	0
8	0
3	0
21	1
0	0
16	0
0	0
9	0
9	7
6	0
0	0
2	0
1	0
0	1
9	0
0	4
3	0
0	0
0	0
0	0
9	0
0	0
0	0
0	0
4	0
8	0
0	0
0	0
0	0
0	0
24	3
7	0
0	0
7	0
0	0
0	0
12	0
8	0
7	0
12	2
6	0
0	0
0	0
0	0
0	0
10	0
6	0
15	0
0	0
0	0
0	0
0	0
5	2
5	0
7	0
6	0
0	0
7	0
15	4
11	1
7	0
0	0
0	0
0	0
7	0
0	0
0	0
0	0
6	0
0	0
14	13
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	1
0	0
9	1
0	0
1	2
0	0
0	0
0	0
0	8
5	0
0	0
5	0
0	0
0	0
0	0
7	0
4	0
8	0
6	0
11	0
5	0
9	0
11	0
14	0
5	0
0	1
1	3
0	0
1	0
1	1
2	0
0	1
0	0
0	5
4	0
3	0
0	0
0	0
6	0
0	0
0	0
1	0
7	0
9	0
0	0
7	0
13	0
0	0
0	0
0	0
7	0
0	1
4	4
0	0
0	10
15	2
1	1
12	0
0	0
6	1
7	0
2	7
6	0
0	0
0	0
3	0
0	0
0	0
0	0
1	0
2	0
0	0
0	0
0	0
0	0
0	0
1	0
7	0
9	0
0	0
9	0
5	0
0	0
11	6
0	0
0	0
0	0
6	0
0	0
34	2
7	3
0	0
0	0
1	3
0	0
5	0
0	0
0	0
0	0
8	0
0	0
6	0
6	1
0	0
7	0
0	0
0	0
0	0
0	0
8	2
0	0
7	1
0	0
0	0
6	0
3	0
5	0
0	0
13	0
0	0
0	0
4	10
0	0
0	0
0	0
0	0
6	1
3	0
12	16
3	0
0	0
6	0
0	0
0	0
5	3
0	0
5	0
0	0
2	2
0	0
0	0
4	0
9	2
0	0
27	6
5	0
0	0
0	0
7	0
0	0
6	0
7	0
0	0
7	8
10	0
0	0
11	1
0	0
3	0
0	0
0	0
6	0
11	0
5	0
0	0
5	2
1	3
7	0
0	1
0	0
0	0
0	0
0	0
7	0
0	0
0	0
8	5
0	0
0	0
3	0
6	0
1	0
0	0
9	0
13	0
1	0
2	0
0	0
0	0
0	1
6	0
0	0
5	0
1	0
0	0
4	1
0	0
8	0
4	0
0	1
0	0
0	0
4	0
0	0
5	0
0	0
7	0
0	0
7	0
10	0
6	0
6	0
47	9
2	1
0	0
4	3
0	0
0	0
0	0
0	0
0	0
1	0
2	0
2	0
0	0
5	2
3	0
16	3
0	0
0	0
0	0
6	2
1	0
0	0
0	0
0	0
4	1
0	0
1	0
0	0
5	0
0	0
0	0
0	0
10	5
0	0
0	0
5	2
0	0
4	0
0	1
4	0
0	0
5	0
6	1
6	0
0	0
7	1
0	0
0	0
4	0
0	0
2	0
0	1
0	0
0	0
0	0
1	0
1	0
0	0
1	0
4	0
0	0
2	0
0	0
3	0
0	0
3	0
3	0
0	0
5	0
5	4
0	0
3	0
0	1
0	0
3	0
5	4
2	0
0	4
0	0
0	0
4	0
3	0
0	0
0	0
0	0
0	0
6	4
6	0
7	3
4	0
4	0
4	0
6	1
4	0
2	0
11	4
0	0
2	0
33	3
0	0
0	0
0	0
0	0
0	0
0	0
6	0
3	1
6	0
0	0
4	0
0	0
0	1
0	0
0	0
0	0
3	0
0	0
0	0
5	0
3	0
0	0
2	0
7	0
1	0
0	0
2	11
3	3
2	0
2	5
0	0
3	0
0	0
1	5
0	0
0	0
16	9
0	0
4	0
3	0
0	0
2	0
0	0
0	5
4	0
0	0
6	0
0	0
0	0
0	0
0	0
0	0
1	5
3	1
5	0
0	0
0	0
2	0
1	0
1	0
2	1
0	0
7	0
0	0
0	0
3	2
2	5
4	0
0	0
1	0
0	0
0	0
0	0
0	0
3	0
4	0
6	1
5	0
0	0
3	0
0	0
0	0
0	0
0	0
5	0
0	0
2	0
0	0
0	0
3	0
6	0
0	0
3	0
0	0
6	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
1	0
3	1
4	0
4	16
0	0
13	7
5	2
0	0
8	17
3	0
0	0
1	0
4	0
0	0
27	7
0	0
0	0
0	0
0	0
1	0
0	0
0	0
8	7
3	0
2	0
0	0
2	0
3	2
3	0
0	0
0	3
2	0
5	0
28	1
0	0
0	0
1	0
0	0
4	2
0	0
0	0
3	0
0	0
0	0
0	0
0	0
5	1
0	0
3	0
0	0
0	0
0	0
0	0
6	0
2	0
15	2
4	0
0	0
1	3
0	6
0	0
3	0
5	1
11	5
0	0
2	0
1	0
2	0
3	0
0	0
1	0
0	0
1	0
5	0
4	0
40	5
0	0
8	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
2	1
0	0
1	0
0	0
2	0
0	0
0	2
0	1
4	0
0	0
0	0
4	0
0	0
2	0
0	0
0	0
2	6
10	1
10	0
0	0
0	2
0	0
1	0
0	0
4	0
1	0
2	0
1	0
0	0
5	0
0	0
0	0
0	0
3	0
3	1
20	1
2	0
0	0
0	2
0	0
0	0
0	0
2	0
3	0
2	0
0	0
0	2
0	0
3	0
4	0
3	5
5	0
3	0
0	0
3	0
9	6
3	0
0	0
2	2
1	0
0	1
1	0
0	0
0	0
0	0
0	0
0	0
117	3
0	0
0	0
0	0
0	0
0	0
8	4
0	0
0	0
2	0
0	0
1	0
0	0
0	0
0	0
1	2
1	3
2	1
99	3
2	0
5	1
0	0
1	3
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	4
0	0
3	2
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
3	6
1	0
0	0
0	0
2	0
0	0
1	0
4	0
0	0
1	4
0	0
1	0
0	0
0	0
3	1
0	0
0	0
0	0
1	5
0	0
0	1
0	0
0	0
0	2
0	2
9	1
0	0
1	0
0	0
1	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	1
3	7
1	0
0	0
0	0
0	0
1	0
4	0
0	0
0	2
3	0
0	0
0	0
0	0
0	0
1	2
0	0
93	4
0	0
0	0
0	0
1	0
3	0
0	0
0	0
0	0
1	1
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	3
0	0
0	0
0	0
3	0
0	0
2	0
0	0
0	0
3	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
3	0
2	0
0	0
0	0
0	0
5	5
0	0
0	0
0	0
5	0
1	1
0	0
0	0
2	0
2	1
0	0
0	0
6	1
0	0
0	0
16	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
1	0
0	0
4	1
0	0
0	0
0	0
0	0
9	8
0	0
0	0
0	0
0	0
6	5
0	0
0	0
1	2
0	0
0	0
0	0
0	0
3	2
0	0
0	0
75	1
1	0
2	7
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
25	1
0	0
0	0
0	0
31	0
0	0
0	0
0	0
0	0
0	0
47	4
1	0
0	0
0	0
1	0
0	0
2	2
2	3
0	0
0	0
1	2
3	1
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
1	0
0	0
2	0
0	0
0	0
0	0
9	2
1	0
0	0
6	3
0	0
0	0
6	7
0	0
0	0
0	0
0	0
1	0
10	0
0	0
1	0
3	2
0	0
0	0
0	0
0	0
8	1
13	1
3	2
0	0
0	0
0	0
0	0
0	0
